scenario_id,boundary_type,family,severity,configuration,family_label,primary_role,primary_role_label,secondary_role,secondary_role_label,classification_confidence,primary_burden_region,primary_burden_region_label,secondary_burden_region,secondary_burden_region_label,mean_tta_mean,p95_mean,p99_mean,gap_cv_mean,cluster100_mean,bulk_window_mean,upper_bulk_window_mean,late_region_window_mean,tail_window_mean,straggler_window_mean,delta_mean_tta,delta_p95,delta_bulk_window,delta_upper_bulk_window,delta_late_region_window,delta_tail_window,delta_straggler_window,early_bulk_region_shift,main_bulk_region_shift,upper_bulk_region_shift,convergence_region_shift,tail_region_shift,straggler_region_shift,upper_bulk_displacement_score,convergence_vs_straggler_score,synchronized_vs_tail_score,concentration_vs_curve_shift_score,takeaway,role_reason
required_effect__retained_deferred__baseline__standard,required_effect,baseline,standard,retained_deferred,baseline,baseline,baseline,,n/a,n/a,,n/a,,n/a,4.254302,7.03723,7.33636,6.309277,0.105,3.061939,0.974515,1.260388,0.585003,0.29913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline shows a mixed burden pattern rather than one clearly dominant recovery burden.,
required_effect__retained_deferred__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,retained_deferred,duplicate pressure (extreme),mixed,mixed burden pattern,synchronized-lateness dominant,broadly delayed recovery,low,straggler,slowest cases,tail,last recovery segment,5.658418,9.768787,10.212134,5.11474,0.0922,4.552471,1.382256,1.866799,0.927889,0.443347,1.404116,2.731557,1.490532,0.407741,0.606411,0.342886,0.144217,0.994764,1.74003,2.329017,2.428351,2.704331,2.803666,1.78439,0.138605,0.596208,0.0,duplicate pressure (extreme) shows a mixed burden pattern rather than one clearly dominant recovery burden.,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics."
required_effect__retained_deferred__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,retained_deferred,duplicate pressure,mixed,mixed burden pattern,synchronized-lateness dominant,broadly delayed recovery,low,straggler,slowest cases,tail,last recovery segment,5.252049,9.001253,9.34265,5.497986,0.1185,4.102472,1.403228,1.740115,0.678284,0.341397,0.997747,1.964023,1.040533,0.428713,0.479727,0.093281,0.042267,0.729711,1.249977,1.698653,1.72416,1.959649,1.985156,1.524999,0.178323,0.526364,0.0,duplicate pressure shows a mixed burden pattern rather than one clearly dominant recovery burden.,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics."
required_effect__retained_deferred__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,retained_deferred,handling-gap replayable omission (extreme),concentration-dominant,catch-up surge recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,6.726935,7.214015,7.320308,25.147622,0.5393,0.168634,0.150954,0.1846,0.139938,0.106293,2.472633,0.176785,-2.893305,-0.823561,-1.075788,-0.445065,-0.192837,3.408524,1.961873,0.840793,0.71468,0.20648,0.080366,1.215433,0.0,1.175933,2.283295,handling-gap replayable omission (extreme) behaves mainly as catch-up surge recovery: the disturbance bunches cases into a more synchronized resumption.,"Recovery concentration dominates: gap_cv=18.838, timestamp_compression_ratio=0.920, with concentration_score=2.721 outweighing curve-shift scores (sync=1.176, conv=0.242)."
required_effect__retained_deferred__handling_gap_replayable__standard,required_effect,handling_gap_replayable,standard,retained_deferred,handling-gap replayable omission,concentration-dominant,catch-up surge recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,5.246789,6.54142,6.817183,20.025821,0.4712,0.080415,0.396334,0.681697,0.561126,0.275763,0.992487,-0.49581,-2.981524,-0.578181,-0.578691,-0.023877,-0.023367,2.303263,0.812501,-0.20621,-0.206464,-0.507239,-0.507494,0.369406,0.0,0.560344,2.693247,handling-gap replayable omission behaves mainly as catch-up surge recovery: the disturbance bunches cases into a more synchronized resumption.,"Recovery concentration dominates: gap_cv=13.717, timestamp_compression_ratio=1.411, with concentration_score=2.861 outweighing curve-shift scores (sync=0.560, conv=0.000)."
required_effect__retained_deferred__source_omission__standard,required_effect,source_omission,standard,retained_deferred,source omission control,mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,late_convergence,near-finish region,main_bulk,main recovery body,4.321416,7.077999,7.393072,5.604901,0.112375,3.153557,0.81925,1.160917,0.656741,0.315073,0.067114,0.040769,0.091618,-0.155265,-0.099471,0.071738,0.015943,0.020922,0.066731,0.062607,0.090505,0.020844,0.04874,0.149219,0.054557,0.099076,0.0,source omission control shows a mixed burden pattern rather than one clearly dominant recovery burden.,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics."
required_effect__retained_immediate__baseline__standard,required_effect,baseline,standard,retained_immediate,baseline,baseline,baseline,,n/a,n/a,,n/a,,n/a,3.889353,6.621557,6.88975,0.843785,0.1051,2.943291,0.949248,1.268444,0.58739,0.268193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline shows a mixed burden pattern rather than one clearly dominant recovery burden.,
required_effect__retained_immediate__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,retained_immediate,duplicate pressure (extreme),mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,straggler,slowest cases,tail,last recovery segment,5.872248,10.23968,10.635987,0.529333,0.1147,4.860974,1.471916,1.949212,0.873602,0.396307,1.982895,3.618123,1.917683,0.522668,0.680768,0.286212,0.128114,1.52594,2.484781,3.19869,3.27774,3.60313,3.68218,2.055186,0.178148,0.760952,0.0,duplicate pressure (extreme) shows a mixed burden pattern rather than one clearly dominant recovery burden.,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics."
required_effect__retained_immediate__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,retained_immediate,duplicate pressure,mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,straggler,slowest cases,tail,last recovery segment,5.37599,9.278036,9.643459,0.71096,0.1245,4.300682,1.310125,1.774989,0.830286,0.365422,1.486637,2.656479,1.357391,0.360877,0.506545,0.242896,0.097229,1.166751,1.845447,2.330374,2.403207,2.632261,2.705094,1.789576,0.175951,0.662664,0.0,duplicate pressure shows a mixed burden pattern rather than one clearly dominant recovery burden.,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics."
required_effect__retained_immediate__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,retained_immediate,handling-gap replayable omission (extreme),concentration-dominant,catch-up surge recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,6.210844,6.845336,6.891712,26.939499,0.3228,0.176277,0.059622,0.105328,0.092082,0.046377,2.321491,0.223779,-2.767014,-0.889626,-1.163116,-0.495308,-0.221816,3.475356,2.091849,0.942082,0.805337,0.249616,0.11287,1.281598,0.0,1.111278,2.813323,handling-gap replayable omission (extreme) behaves mainly as catch-up surge recovery: the disturbance bunches cases into a more synchronized resumption.,"Recovery concentration dominates: gap_cv=26.096, timestamp_compression_ratio=2.730, with concentration_score=3.224 outweighing curve-shift scores (sync=1.111, conv=0.221)."
