scenario_id,boundary_type,family,severity,configuration,primary_role,primary_role_label,secondary_role,secondary_role_label,classification_confidence,primary_burden_region,primary_burden_region_label,secondary_burden_region,secondary_burden_region_label,role_reason,synchronized_lateness_score,concentration_score,convergence_region_score,tail_score,straggler_score,upper_bulk_displacement_score
required_effect__retained_deferred__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,retained_deferred,mixed,mixed burden pattern,synchronized-lateness dominant,broadly delayed recovery,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",1.219735,0.0,1.248754,0.959273,1.387686,1.78439
required_effect__retained_immediate__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,retained_immediate,mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",1.448887,0.0,1.443232,1.058361,1.581355,2.055186
required_effect__transient_immediate__duplicate_pressure__extreme,required_effect,duplicate_pressure,extreme,transient_immediate,mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",1.594059,0.0,1.56872,1.175231,1.779449,2.248021
required_effect__retained_deferred__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,retained_deferred,mixed,mixed burden pattern,synchronized-lateness dominant,broadly delayed recovery,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",1.020088,0.0,1.068948,0.759575,1.113281,1.524999
required_effect__retained_immediate__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,retained_immediate,mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",1.256613,0.0,1.252582,0.913767,1.345789,1.789576
required_effect__transient_immediate__duplicate_pressure__standard,required_effect,duplicate_pressure,standard,transient_immediate,mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,straggler,slowest cases,tail,last recovery segment,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics.",1.328642,0.010612,1.305314,0.926221,1.466455,1.920442
required_effect__retained_deferred__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,retained_deferred,concentration-dominant,catch-up surge recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,"Recovery concentration dominates: gap_cv=18.838, timestamp_compression_ratio=0.920, with concentration_score=2.721 outweighing curve-shift scores (sync=1.176, conv=0.242).",1.175933,2.720874,0.242284,0.0,0.518494,1.215433
required_effect__retained_immediate__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,retained_immediate,concentration-dominant,catch-up surge recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,"Recovery concentration dominates: gap_cv=26.096, timestamp_compression_ratio=2.730, with concentration_score=3.224 outweighing curve-shift scores (sync=1.111, conv=0.221).",1.111278,3.224127,0.221203,0.0,0.281734,1.281598
required_effect__transient_immediate__handling_gap_replayable__extreme,required_effect,handling_gap_replayable,extreme,transient_immediate,concentration-dominant,catch-up surge recovery,,n/a,high,early_bulk,early recovery body,main_bulk,main recovery body,"Recovery concentration dominates: gap_cv=6.417, timestamp_compression_ratio=7.783, with concentration_score=2.930 outweighing curve-shift scores (sync=0.000, conv=0.000).",0.0,2.93044,0.0,0.0,0.159652,0.0
required_effect__retained_deferred__handling_gap_replayable__standard,required_effect,handling_gap_replayable,standard,retained_deferred,concentration-dominant,catch-up surge recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,"Recovery concentration dominates: gap_cv=13.717, timestamp_compression_ratio=1.411, with concentration_score=2.861 outweighing curve-shift scores (sync=0.560, conv=0.000).",0.560344,2.86135,0.0,0.0,1.135075,0.369406
