scenario_id,boundary_type,family,severity,configuration,family_label,primary_role,primary_role_label,secondary_role,secondary_role_label,classification_confidence,primary_burden_region,primary_burden_region_label,secondary_burden_region,secondary_burden_region_label,mean_tta_mean,p95_mean,p99_mean,gap_cv_mean,cluster100_mean,bulk_window_mean,upper_bulk_window_mean,late_region_window_mean,tail_window_mean,straggler_window_mean,delta_mean_tta,delta_p95,delta_bulk_window,delta_upper_bulk_window,delta_late_region_window,delta_tail_window,delta_straggler_window,early_bulk_region_shift,main_bulk_region_shift,upper_bulk_region_shift,convergence_region_shift,tail_region_shift,straggler_region_shift,upper_bulk_displacement_score,convergence_vs_straggler_score,synchronized_vs_tail_score,concentration_vs_curve_shift_score,takeaway,role_reason
deadline_constrained__retained_deferred__backlog_shock__standard,deadline_constrained,backlog_shock,standard,retained_deferred,backlog shock,concentration-dominant,catch-up surge recovery,tail-dominant,straggler-stretch recovery,high,early_bulk,early recovery body,main_bulk,main recovery body,5.472847,6.947948,7.59335,17.169001,0.0,0.204406,0.769833,0.953169,0.828737,0.645401,1.477724,0.380594,-2.658159,-0.033129,-0.208423,0.24964,0.424934,2.50219,1.17311,0.572453,0.484806,0.680709,0.593062,0.925854,0.0,0.291514,1.277223,backlog shock behaves mainly as catch-up surge recovery: the disturbance bunches cases into a more synchronized resumption.,"Recovery concentration dominates: gap_cv=10.729, timestamp_compression_ratio=1.087, with concentration_score=1.577 outweighing curve-shift scores (sync=0.896, conv=0.089)."
deadline_constrained__retained_deferred__baseline__standard,deadline_constrained,baseline,standard,retained_deferred,baseline,baseline,baseline,,n/a,n/a,,n/a,,n/a,3.995123,6.567354,6.787821,6.439606,0.0,2.862565,0.802962,1.161592,0.579097,0.220467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline shows a mixed burden pattern rather than one clearly dominant recovery burden.,
deadline_constrained__retained_deferred__degradation__high,deadline_constrained,degradation,high,retained_deferred,degradation (high),synchronized-lateness dominant,broadly delayed recovery,mean-dominant,general slowdown,medium,early_bulk,early recovery body,main_bulk,main recovery body,8.336668,9.777383,9.781965,14.06094,0.0,1.431749,0.184536,0.190391,0.010438,0.004582,4.341545,3.210029,-1.430816,-0.618426,-0.971201,-0.568659,-0.215885,4.953385,4.237977,3.872016,3.695629,3.278474,3.102086,2.260452,0.278658,1.490391,0.0,degradation (high) behaves mainly as broadly delayed recovery: much of the curve moves later together.,"Broad synchronized lateness dominates: mean=4.342s, early_bulk=-1.317s, main_bulk=-0.113s, upper_bulk=-0.618s, late_region=-0.971s; tail_window=-0.569s and straggler_window=-0.216s are secondary."
deadline_constrained__retained_deferred__degradation__moderate,deadline_constrained,degradation,moderate,retained_deferred,degradation (moderate),synchronized-lateness dominant,broadly delayed recovery,concentration-dominant,catch-up surge recovery,medium,main_bulk,main recovery body,upper_bulk,late recovery body,5.952193,8.299769,8.305126,15.450839,0.0,4.701405,0.019822,0.026017,0.011551,0.005356,1.95707,1.732415,1.83884,-0.78314,-1.135575,-0.567546,-0.215111,1.753525,2.672944,2.476421,2.300203,1.801078,1.62486,1.860049,0.269884,1.249584,0.35039,degradation (moderate) behaves mainly as broadly delayed recovery: much of the curve moves later together.,"Broad synchronized lateness dominates: mean=1.957s, early_bulk=1.449s, main_bulk=0.390s, upper_bulk=-0.783s, late_region=-1.136s; tail_window=-0.568s and straggler_window=-0.215s are secondary."
deadline_constrained__retained_immediate__backlog_shock__standard,deadline_constrained,backlog_shock,standard,retained_immediate,backlog shock,concentration-dominant,catch-up surge recovery,synchronized-lateness dominant,broadly delayed recovery,high,early_bulk,early recovery body,main_bulk,main recovery body,5.611581,8.01424,8.250501,14.239681,0.0,1.06771,0.897214,1.18923,0.528278,0.236261,1.660375,1.358065,-1.812802,-0.114352,-0.107792,0.012724,0.006162,2.634447,1.728045,1.408681,1.411961,1.357867,1.361147,1.453301,0.0,1.058758,1.248861,backlog shock behaves mainly as catch-up surge recovery: the disturbance bunches cases into a more synchronized resumption.,"Recovery concentration dominates: gap_cv=13.547, timestamp_compression_ratio=1.537, with concentration_score=1.774 outweighing curve-shift scores (sync=1.085, conv=0.571)."
deadline_constrained__retained_immediate__baseline__standard,deadline_constrained,baseline,standard,retained_immediate,baseline,baseline,baseline,,n/a,n/a,,n/a,,n/a,3.951206,6.656175,6.886273,0.692736,0.0,2.880512,1.011566,1.297022,0.515554,0.230099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline shows a mixed burden pattern rather than one clearly dominant recovery burden.,
deadline_constrained__retained_immediate__degradation__high,deadline_constrained,degradation,high,retained_immediate,degradation (high),synchronized-lateness dominant,broadly delayed recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,7.761881,8.417823,8.42786,2.602689,0.0,0.248877,0.042918,0.065245,0.032364,0.010037,3.810675,1.761648,-2.631635,-0.968648,-1.231777,-0.48319,-0.220062,4.993866,3.678048,2.509101,2.377536,1.783182,1.651617,1.95505,0.548273,1.605487,0.0,degradation (high) behaves mainly as broadly delayed recovery: much of the curve moves later together.,"Broad synchronized lateness dominates: mean=3.811s, early_bulk=-1.262s, main_bulk=-1.369s, upper_bulk=-0.969s, late_region=-1.232s; tail_window=-0.483s and straggler_window=-0.220s are secondary."
deadline_constrained__retained_immediate__degradation__moderate,deadline_constrained,degradation,moderate,retained_immediate,degradation (moderate),mixed,mixed burden pattern,convergence-region dominant,late-convergence fragility,low,upper_bulk,late recovery body,main_bulk,main recovery body,5.342752,8.126176,8.162134,0.870715,0.0,4.450318,0.279522,0.332011,0.088446,0.035957,1.391546,1.470001,1.569806,-0.732044,-0.965011,-0.427108,-0.194142,1.248498,2.0334,2.06899,1.952506,1.489415,1.372931,1.694668,0.540291,1.037592,0.0,degradation (moderate) shows a mixed burden pattern rather than one clearly dominant recovery burden.,"No single burden dimension dominates clearly; changes are mixed or weak across mean, synchronized lateness, concentration, convergence-region, and tail metrics."
deadline_constrained__transient_immediate__backlog_shock__standard,deadline_constrained,backlog_shock,standard,transient_immediate,backlog shock,concentration-dominant,catch-up surge recovery,mean-dominant,general slowdown,high,early_bulk,early recovery body,main_bulk,main recovery body,4.582939,6.530099,6.762405,15.025805,0.0,0.409693,0.899859,1.188523,0.520969,0.232306,0.649745,0.043327,-2.453689,0.06036,0.067503,0.012427,0.005285,1.746057,0.519212,0.006004,0.009575,0.042398,0.045969,0.270198,0.0,0.310926,2.114554,backlog shock behaves mainly as catch-up surge recovery: the disturbance bunches cases into a more synchronized resumption.,"Recovery concentration dominates: gap_cv=14.552, timestamp_compression_ratio=1.525, with concentration_score=2.208 outweighing curve-shift scores (sync=0.311, conv=0.000)."
deadline_constrained__transient_immediate__baseline__standard,deadline_constrained,baseline,standard,transient_immediate,baseline,baseline,baseline,,n/a,n/a,,n/a,,n/a,3.933194,6.486772,6.713793,0.473552,0.0,2.863382,0.839499,1.12102,0.508542,0.227021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline shows a mixed burden pattern rather than one clearly dominant recovery burden.,
